ai1_score,ai2_score,ai1_avg_time,ai2_avg_time
53,47,0.0017512941165033383,0.00022368469770482117
61,39,0.0017811151089923922,0.00024775496201637464
50,50,0.0017237020630936522,0.0002483541672919696
53,47,0.0017831047507525415,0.000247934805366384
69,31,0.001767345120208432,0.00023031243086787462
48,52,0.0017203495949854105,0.0002389261002862926
56,44,0.0017802011409098545,0.00022817904935426697
63,37,0.0017037410888916407,0.00023754054970211454
52,48,0.0017193882932857742,0.0002379929270565953
56,44,0.0017269375272643513,0.00023622350870590388
64,36,0.0017123762101732226,0.00023173868828177624
52,48,0.0017224576414881887,0.00022492499488587517
60,40,0.0017444193242776274,0.00021950273376707894
51,49,0.0017402141268344099,0.00022492056441288544
49,51,0.0017482314592382198,0.0002462747865808779
44,56,0.0017919775262393966,0.0002361632814311018
53,47,0.0017529934498350475,0.00022461704103461593
47,53,0.0017339064370965253,0.000244711941957659
42,58,0.0017482696864247415,0.0002174657185872396
53,47,0.0017107582395303553,0.0002457439209383036
55,45,0.0017324777990695387,0.00022273893141431595
53,47,0.001758318616145326,0.0002359531024860243
31,69,0.0017613041080424465,0.00022786004745228492
47,53,0.0017465978908094216,0.0002410239077577687
48,52,0.0017546731455236894,0.0002227714485962815
48,52,0.0017469878392156557,0.00023476664299360985
49,51,0.0017301586594985453,0.00022972035425221935
47,53,0.0017248630225426853,0.00023240535742753037
64,36,0.0017636788073992912,0.00021414345908421682
53,47,0.0017420662943485085,0.0002261630015124993
45,55,0.0017341381410526135,0.00025283406219838106
50,50,0.0017373901270301007,0.00023934612166724096
51,49,0.001723748972842267,0.00023456681580532403
56,44,0.0017912072399001576,0.000213928567687022
47,53,0.0017437582635657215,0.00021419358911121549
55,45,0.0017201893257372308,0.0002237288241434579
54,46,0.0017414666927407301,0.00023768065600035813
51,49,0.0017286961573265095,0.0002443433143359758
44,56,0.0017276000511581432,0.0002199664404897979
43,57,0.001699403599399165,0.00022515273696244365
47,53,0.0017422495539464412,0.0002271657736614497
47,53,0.001709351297607299,0.0002376418483682049
53,47,0.0017322139311133195,0.00023096153637931248
55,45,0.0017188408899841835,0.00022093660144168644
39,61,0.0017252547196297103,0.00024339289265079098
43,57,0.0017073844084002385,0.00024030623291478013
54,46,0.0017737199161621425,0.00021009682173310273
47,53,0.0017457248381894045,0.00024112381959202314
50,50,0.0017195315022145172,0.0002246573679004423
53,47,0.0017911087620045292,0.00024573432361792483
57,43,0.0018047168265041122,0.00022869542354562994
46,54,0.0017329037512747371,0.00023420427701412102
57,43,0.001739780132137243,0.00022067517982310997
53,47,0.0017181628650586314,0.0002500721262382315
45,55,0.0017754816989388447,0.00021354449499274005
49,51,0.001759823171686737,0.00023182071533514345
46,54,0.0017559047776224451,0.00023172123847122608
41,59,0.0017640410914565577,0.0002301163326054464
52,48,0.0017317974748033466,0.00023532479389458283
47,53,0.0017415192132785326,0.0002263330376787341
50,50,0.0016968971508458872,0.00023463724450538948
47,53,0.001692075968159199,0.0002498831953665223
54,46,0.0017206731523389304,0.00022335243678963637
42,58,0.0017095127123311776,0.00021552845981571224
58,42,0.0017252357170020505,0.00021727047275922607
53,47,0.0017214305870460742,0.0002314912077059742
49,51,0.0016957109781226725,0.0002578442277330341
47,53,0.001704453332533462,0.000253383675006905
52,48,0.001738682977339975,0.00023097361215199122
48,52,0.0017520444216375176,0.00022508416624150723
52,48,0.0017247287311939277,0.00023282769159307912
51,49,0.0016939680237314362,0.00024340813550823126
45,55,0.0016836431592401832,0.00023297291813474712
57,43,0.0017396543731778374,0.00022300936745967435
44,56,0.0017369191935568146,0.0002074316303768914
52,48,0.0017747485809022359,0.00021489746652097783
50,50,0.0017281182682041798,0.00025580241111423403
52,48,0.0017502341409385343,0.00022874458797606
53,47,0.0017252948248025143,0.00025707026563509544
43,57,0.001715179086472512,0.00024574234426345766
48,52,0.0017016980251602731,0.00023676542922703908
47,53,0.0017219011620578603,0.0002347271599877038
42,58,0.001758432918124729,0.0002211888980383825
61,39,0.0017598006623290674,0.00023496823009686168
42,58,0.0017810340354677866,0.00023579895292591844
54,46,0.0017664274566379181,0.00022107291249406365
40,60,0.0017890544492511111,0.00023304692339137627
46,54,0.0017364660325491252,0.00025088731068090216
48,52,0.0017275396158459952,0.00023052714069221218
41,59,0.0018012506820634464,0.00024095008641610415
43,57,0.0017574820962170806,0.000220458437698056
53,47,0.0017427635919056664,0.00022950256454361067
41,59,0.0017154326869613361,0.0002410359481738905
52,48,0.001743303644073593,0.00022755195877768777
54,46,0.0017638199710994149,0.00022081026766035292
48,52,0.0017665717895399627,0.00023544265896012454
46,54,0.0017470133896474239,0.0002362290473528953
55,45,0.0018080598171496447,0.00024921612259761806
46,54,0.0017040658528802927,0.0002432564380285623
48,52,0.001709485593746129,0.0002222813391926313
