ai1_score,ai2_score,ai1_avg_time,ai2_avg_time
51,49,0.0017344839249642764,0.00024704689625723006
37,63,0.0017087481032996188,0.00023345046035985937
46,54,0.0016869885042327957,0.00024274850067651448
49,51,0.001967033990798482,0.00027609823930143106
46,54,0.0027209303318852123,0.0003834978486552383
53,47,0.002739456529106016,0.0003804564400060101
45,55,0.002733842236641867,0.00037934276839051025
42,58,0.0025468239441525592,0.00036820197864938546
52,48,0.0017103892348029398,0.0002091645515511549
59,41,0.0017264158677573155,0.0002368393105504674
61,39,0.001698478288305945,0.00022639805277651747
48,52,0.0017053518095216551,0.00022800460478642604
54,46,0.001723427588474686,0.00020853999750319616
51,49,0.0017449797950424514,0.00023457773501368338
53,47,0.001739902608878129,0.00022961211389780232
46,54,0.0017134181585252608,0.0002287662366423944
52,48,0.001740981410248111,0.00021035505665673149
50,50,0.0017083230839279517,0.00023325411311952106
46,54,0.0017557880896576662,0.00025078779139440935
55,45,0.0017122406212970464,0.00023727018053251915
50,50,0.0017310023393942203,0.0002318358573231849
53,47,0.00174907403966671,0.00022262410081998267
49,51,0.0017057893558326048,0.00023303339133081086
57,43,0.0017486599164131362,0.0002450497647821209
41,59,0.001750325299735762,0.00022121029068725278
49,51,0.0017080845675360998,0.00023393674635942721
50,50,0.0017415988493447352,0.00023343766291380484
51,49,0.0017320139688767474,0.00024375942960432783
47,53,0.0017410271225183065,0.0002313634809265789
52,48,0.001754871081308197,0.0002295813807531842
54,46,0.001733992292423441,0.000234370079907504
43,57,0.001678010222027656,0.0002255803466518045
53,47,0.001732143971655104,0.00022548896968133152
49,51,0.001730511336708217,0.00022150918673643303
53,47,0.001703741418176042,0.00022450690799289278
61,39,0.0017081637861382248,0.0002269950792042896
48,52,0.0016941800164731787,0.00022961168911629344
44,56,0.0017010752286190118,0.0002372430426813228
55,45,0.0017210275873067124,0.00020729292143011798
50,50,0.0017181122001975475,0.00023514517168184143
46,54,0.0017135957982434538,0.00025494709752193237
54,46,0.0017360191317427132,0.00021413701230829413
57,43,0.0016923340678492904,0.0002353237710817896
49,51,0.001707979260717331,0.00023923936951688397
54,46,0.001760519050125383,0.00024288560886575716
50,50,0.001736674109261075,0.0002410511790826141
43,57,0.001731594599858679,0.0002233433061175876
53,47,0.0017713688853737359,0.00023835866561620344
53,47,0.001733429263190935,0.00023707780418285904
48,52,0.0017326109282435052,0.0002185181149606475
43,57,0.0019266765163031862,0.0002937697732550466
47,53,0.0017021205003815469,0.00023447525398039717
47,53,0.0017369201645521387,0.00022920935155813695
58,42,0.0017595479157699015,0.00023310184154569778
41,59,0.0017367515977075511,0.00024334735933346813
55,45,0.0017026331548831587,0.00022645703710690894
59,41,0.0017484237959705404,0.00022264027530682022
50,50,0.001724961319910804,0.0002244184388610496
36,64,0.0017276001446174852,0.00024513151428916236
54,46,0.0017125252364861845,0.00023155899194200185
49,51,0.001707271428467603,0.00023642878802876744
50,50,0.0017100589153226492,0.00023622261171852237
51,49,0.0016789074497993548,0.00024813418390219215
47,53,0.0017176721287774038,0.00021882104753243804
56,44,0.0017304865547919698,0.00022172718920629897
60,40,0.00175610635395465,0.00023725170151800174
54,46,0.0017231983017717673,0.00022665525316358445
45,55,0.0017130256990360122,0.00023634132684990705
47,53,0.0017054099562377456,0.00022293052692923566
54,46,0.001689499766028196,0.0002316247171084827
55,45,0.0016997794377471673,0.00023002285775525387
45,55,0.001728021290659812,0.00023760187496209013
47,53,0.00170162262648215,0.00023781109193623403
46,54,0.0017036064607161027,0.0002192863727703596
42,58,0.0017749037819494084,0.00023087846000896653
43,57,0.001742233483293025,0.00022530459033118355
48,52,0.0017267941730191008,0.00020997750759124754
50,50,0.001742834792918907,0.00023408394028442075
49,51,0.0017607644970507796,0.00022073218557569716
49,51,0.0017340735446230424,0.0002393816723412289
53,47,0.0017314345234572285,0.00022377961332147774
54,46,0.001780075237560198,0.0002172987356423035
46,54,0.0017406333569139126,0.00022152162830127518
50,50,0.001712222886344862,0.000222611641087269
42,58,0.0017039895623621314,0.0002424302537402351
42,58,0.0017442745312110527,0.0002256103681795525
53,47,0.0017270571465814585,0.0002185820877413094
50,50,0.0017103840917603583,0.0002487205279920114
44,56,0.0017307453460256167,0.00021666486178059492
50,50,0.001703040000997779,0.00025035249226259225
47,53,0.001740851562948626,0.00023423598159072744
63,37,0.001768608465987578,0.00019610887400012841
54,46,0.0017279984866729891,0.00023390130868880622
59,41,0.0016830201752906448,0.0002362202080813321
52,48,0.0017562156622967426,0.00021959452353064737
58,42,0.0017189092070165307,0.00023605031557757445
46,54,0.0017102901578968407,0.00021578306844277073
43,57,0.001727799404010165,0.0002270986610676819
47,53,0.0017062285610567995,0.00020455604397981965
56,44,0.0016785222930137558,0.00024098527070247764
