ai1_score,ai2_score,ai1_avg_time,ai2_avg_time
50,50,0.0030470854176415335,0.0004304648195946969
44,56,0.002960121296317243,0.00040441388859708063
49,51,0.003261149452825355,0.00044641173274922736
44,56,0.003799917587681899,0.0005247921878826553
51,49,0.004080898500730016,0.0006040969100587576
44,56,0.0038410728409388494,0.000533080885738204
49,51,0.004105395654605726,0.0005637047502914877
53,47,0.004392729147238239,0.0005911810281393411
50,50,0.003449686781324522,0.0004789264658762674
49,51,0.0036083191296066904,0.00048649890615482536
52,48,0.003862021125928319,0.0005620073995204886
56,44,0.0034972162989562296,0.000512979541717802
42,58,0.003463445278684946,0.0004933233140694975
50,50,0.0032702333684475186,0.0004704237647453016
43,57,0.0033170377774672088,0.00046066144259289025
50,50,0.003441610564348211,0.00048183916920839655
44,56,0.0032601191576081085,0.0004731394738862009
47,53,0.0040177652661709615,0.0005658047628106308
48,52,0.0037353679476177046,0.0005178075920451771
48,52,0.003929590523845017,0.0005227170215620027
52,48,0.004285498670764736,0.0006243278644950056
49,51,0.003497957423109367,0.0005183465027864717
64,36,0.003622967865454102,0.000526302862649012
49,51,0.0030679109394781893,0.00043456098682436594
48,52,0.003085466648593093,0.000416474208687291
48,52,0.003129694858538429,0.00043830932427860533
46,54,0.0033566090026935507,0.0004974101259436085
44,56,0.004260272766604567,0.0006181878633247204
50,50,0.004204909593260557,0.0005669102991099682
47,53,0.0032085698743892816,0.0004479476310712199
48,52,0.0037267829980049925,0.0005214101207654606
49,51,0.0036548545481904886,0.0004965953045407947
48,52,0.00323824621460284,0.0004228799009656573
59,41,0.0033111082050535394,0.00048728726608584643
56,44,0.003148314479625586,0.00044303503292145966
51,49,0.00320505797770381,0.0004715018384477011
62,38,0.003170331019714254,0.0004616462260878355
54,46,0.003050009874011902,0.00040699609917267974
53,47,0.0032052329514688006,0.000443909283840295
52,48,0.0032216290601390974,0.0004469716639692874
45,55,0.003290120181411203,0.0004729241036405468
44,56,0.003907654843871317,0.0005320898354655565
53,47,0.003014350997725474,0.0004246260650230177
57,43,0.003040533330520181,0.0004186079274246467
51,49,0.0030105470382806028,0.00041727203552169
47,53,0.002987366027116961,0.000437095790476232
50,50,0.0030769846166115718,0.0004384311232242381
57,43,0.0030462551813621014,0.0004440394420445937
51,49,0.003004538165291057,0.0004280426620788694
46,54,0.0029844726568613294,0.00042004467788924534
61,39,0.0030530206783853393,0.0004161525654440809
42,58,0.0030250972878960725,0.00040387763121189213
46,54,0.0030737026259245203,0.00043808238498907075
48,52,0.004020827782645,0.0005694217533683628
47,53,0.003710366266220229,0.0005110442891265407
48,52,0.0030512525549950126,0.0004082954892282257
47,53,0.003010888567800752,0.00042272571585051086
54,46,0.0034512065396164397,0.0005041811398600273
46,54,0.0038292919887344136,0.0005320446898794582
55,45,0.0056383513150144735,0.000792548639513118
49,51,0.006402823218535552,0.0008812169635027256
50,50,0.005094521325970215,0.000693318032996082
52,48,0.004089334241808526,0.0005821361815920151
53,47,0.0037108193757280244,0.0005253653911629108
48,52,0.003567912834970729,0.0005097109338977596
44,56,0.0036850526995129036,0.0005498149532075066
50,50,0.003552761828426993,0.0004931827906909114
52,48,0.004242956851931071,0.0005865397362534909
45,55,0.003846553107426901,0.0005454315187955143
49,51,0.00403610521887738,0.0005797897988014633
50,50,0.0038018219791462744,0.0005478661291897527
48,52,0.0038532867097261832,0.0005389496900355437
47,53,0.003808992957139944,0.0005366421363530775
55,45,0.004028260575916516,0.0005971144317376494
45,55,0.004101501408619945,0.0005432688483309038
51,49,0.0038793416601238828,0.0005512972453257422
54,46,0.003911423543473699,0.0005469416637428064
50,50,0.0037143437255697832,0.000503115584337165
51,49,0.004221175068556661,0.0005773185226652355
53,47,0.004874851703180671,0.0007025556480041657
52,48,0.003957096290291976,0.0005479290184348519
44,56,0.0036833336262528833,0.00048779499271440243
54,46,0.0036989022259945638,0.0005465070599257344
53,47,0.00356229887577389,0.00045032330335529616
44,56,0.0031630740007717473,0.0004630751670008958
51,49,0.0034504217228041017,0.0004546421062325729
54,46,0.003514061859159756,0.00040483410866017853
53,47,0.003530849418625316,0.0005215813198474923
55,45,0.0032617446230471183,0.0004476968310281299
43,57,0.0035828629335296937,0.0005279092411709647
48,52,0.0035716855525970465,0.0005272712569507224
47,53,0.004115081168554881,0.0005673835901854661
58,42,0.004082841930967387,0.0005870542936577014
40,60,0.003484865747780048,0.0005017217283760197
49,51,0.00390967434788269,0.0005573953605542398
42,58,0.0035029937727282735,0.0004874719813894467
52,48,0.0037081003029770694,0.0004909459401584912
56,44,0.0036842650470570613,0.0005330592322553324
49,51,0.0036628292757314414,0.0005347365647577556
52,48,0.0035476441178658997,0.00048765260402602385
