ai1_score;ai2_score;ai1_avg_time;ai2_avg_time
54;46;0.0049611727132134594;0.0006509940636278402
51;49;0.004867944218803025;0.0006392786818691811
41;59;0.004979873475865423;0.000637978314241885
50;50;0.004893322936212173;0.0006467313610868297
57;43;0.005024151746394937;0.0006606149721627285
54;46;0.0049200687842861825;0.0006671691087205557
60;40;0.004904512724120576;0.0006785259680314498
46;54;0.0049141122875235865;0.0006262174977196587
57;43;0.004902108599996975;0.0006347146993446115
52;48;0.004909868640989107;0.0006378867371469478
52;48;0.0049811201115032445;0.0006499065310672673
52;48;0.0047891490034554784;0.000639556821740445
39;61;0.004947393993305065;0.0006825223251563592
51;49;0.005915360916188823;0.0007831966338431297
55;45;0.013425102307338907;0.0017581013947748456
44;56;0.00504427325316679;0.000685555858304543
44;56;0.005263872324725687;0.0006970286229458907
46;54;0.005247169762965589;0.0007045854825610417
55;45;0.005202865031586196;0.0006966804088134588
46;54;0.0051061921728240865;0.0006784023332706973
