ai1_score,ai2_score,ai1_avg_time,ai2_avg_time
52,48,0.0017956648784361797,0.000230858184148289
54,46,0.0017131376402639287,0.00023560545457456124
49,51,0.0017284148474858542,0.00021211509410040086
52,48,0.0017128758888845903,0.00024360941025112243
42,58,0.00173955413965449,0.00023662189688901153
45,55,0.0017498321033024289,0.00022047637522266925
51,49,0.0017181855817126413,0.00022983521653777793
43,57,0.001738104279767211,0.00022502282682303014
56,44,0.0022537726535293233,0.0003055984910921988
50,50,0.0027632450635987097,0.00037747866012555464
56,44,0.0028005826136078497,0.00038964927094614404
55,45,0.002831110506862789,0.000373656894909527
62,38,0.00280853761261345,0.0003866693476141194
62,38,0.002826183908747071,0.00038533760061908715
49,51,0.0027753879913731704,0.0003759724535308518
50,50,0.002752341668737333,0.0003992953742300714
48,52,0.00277958877881368,0.00038025807130216346
43,57,0.0027341019563556367,0.000377443198001746
47,53,0.0027716266809339222,0.00037917998940900475
51,49,0.0027803998113882663,0.00037500479606666947
53,47,0.0028012876594909514,0.0003836614624325768
52,48,0.0027937887172506315,0.0003866133801957481
50,50,0.0028012523401033627,0.00037645103529431416
44,56,0.0027863768290065476,0.0003762922625732761
52,48,0.0027565197425937133,0.00038482262964107864
49,51,0.002766042628951469,0.00040375777131935006
44,56,0.00277912953056338,0.000391766688762567
52,48,0.0028346900457361453,0.0003895562691751523
52,48,0.0027765182388094795,0.0003990499780635641
50,50,0.0028042912246093515,0.00036884932149355046
42,58,0.0027401223555959834,0.00040244286951392585
51,49,0.0027826358200323704,0.00037443574751266326
53,47,0.002834571113490095,0.0004091400100727274
54,46,0.002805164462573415,0.00038247450776311345
56,44,0.0027975390560421353,0.0003843695512555233
43,57,0.0027691771938713745,0.00038684563684945157
48,52,0.0027641984537659006,0.00037941751976047056
41,59,0.002748275006104553,0.0003879565084823455
52,48,0.0027980293176562924,0.0003792393988517111
53,47,0.002769568057604881,0.00035051411700600695
45,55,0.0027741476475219907,0.00038501385022035405
52,48,0.0027728840696228134,0.00041135365251881366
52,48,0.0027787264495648055,0.0003930526231737589
48,52,0.0027273326376749734,0.00039096522368288077
51,49,0.002756459445664377,0.0003867487522086712
51,49,0.002805401520758705,0.0003958027374864829
53,47,0.002778748935845441,0.00038721256887810863
52,48,0.0028153673885585543,0.0003752315204645556
45,55,0.002792887966949623,0.00037069898672407694
48,52,0.0028027518199410847,0.00038799429541886457
49,51,0.0027694896724489,0.0003767637648875156
36,64,0.002796851484555094,0.0003797098651076808
56,44,0.002818889480926496,0.00038794416684741277
53,47,0.002782530132892434,0.0004023317200505835
49,51,0.00280933721619423,0.00035203155687638934
53,47,0.002752073014718021,0.0003858200323702109
51,49,0.0027856565845410957,0.00037055022557206
45,55,0.00277100883486639,0.00039194804525941707
40,60,0.0027781985736949183,0.00038052059433306483
53,47,0.0027972625079040114,0.00038345203616402365
50,50,0.002783992791416669,0.00036431340737776326
54,46,0.0028070259729650656,0.00039024126909459014
54,46,0.00277184345987108,0.00040138779023681024
53,47,0.0028102143486989223,0.00038033081055058
42,58,0.0027612176133202503,0.0003855436891201586
56,44,0.0027977010451645102,0.0003881664726284
51,49,0.0027674220965273545,0.00036936840310796993
53,47,0.0027718422878779637,0.0003805141389694155
47,53,0.00279476851674134,0.00038971173040794604
45,55,0.002769157049817083,0.0003874384691982796
51,49,0.002818367745400216,0.0003750125204025541
58,42,0.0028343344387752475,0.00037544401847954955
49,51,0.002834400555616161,0.0003884921849720062
53,47,0.0028373294625989947,0.0003776680854465392
45,55,0.002802860712486362,0.0003803259387160792
54,46,0.002826963884661896,0.0003720553010215848
44,56,0.0028024807999832463,0.00036841058335434996
41,59,0.0028033498888183,0.0003684094807378909
45,55,0.0028511056357237753,0.0003830481803778446
49,51,0.002819810577113219,0.00037400992201943684
48,52,0.0028357095867511182,0.00038270832775356056
53,47,0.0028192147972422605,0.0003600943599560772
49,51,0.0028482241353603326,0.00038199966316919686
50,50,0.0027943041572323093,0.0004016993488293136
53,47,0.002788818003692271,0.00038642119731473293
55,45,0.0028337650350281052,0.0003860747921624291
56,44,0.0028356507175544853,0.00037829780560088135
50,50,0.002802098487825846,0.0003985410983904655
59,41,0.0027589474495011146,0.00037608465401813235
47,53,0.0027757116425433026,0.0003871919918647814
51,49,0.0027798178965673026,0.00039298967603759055
47,53,0.0027650834469250592,0.0003818555041256114
56,44,0.002786443536931818,0.00037032581514967624
44,56,0.0027839346052420263,0.0003673204199324862
51,49,0.0027796502994212793,0.0003929758446107285
56,44,0.0027843626200365484,0.000387804656225114
51,49,0.002827847935288288,0.00036259994912801193
56,44,0.0027664959615019747,0.00039944914307204213
51,49,0.0027531165823791964,0.0003701667605024395
55,45,0.0027681666671905574,0.00040362852612668075
53,47,0.002811919491700452,0.0003831323513062128
49,51,0.002779698240821826,0.0003957504960299465
55,45,0.002785708925080678,0.0003838531490118022
48,52,0.002781748601236173,0.0003778862237189292
58,42,0.0028063190854049603,0.00038416063359474707
47,53,0.0027986260200528646,0.00037806090330466246
44,56,0.0027568877540824015,0.00039432699816091196
42,58,0.002770126764498298,0.000370709904238709
47,53,0.0027376100304838894,0.0004046000625042106
51,49,0.002740817716349533,0.0003719863203392532
46,54,0.0027722656317431516,0.00037157812531640944
